APRESENTAÇÃO,Quantidade,Unidade,Descrição do item,Unidades,Com Rev
500 MG COM CT 20 STR X 10,500,MG,COM CT 20 STR ,10,
500 MG COM CX 50 STR X 10 (EMB HOSP),500,MG,COM C STR  (EMB HOSP),50,
1250 MG + 200 UI COM CT FR PLAS X 60,1250,MG,+ 200 UI COM CT FR PLAS ,60,
1250 MG + 200 UI COM CX 50 FR PLAS X 60 (EMB HOSP),1250,MG,+ 200 UI COM C FR PLAS  (EMB HOSP),50,
1500 MG + 400 UI COM CT FR PLAS X 60  ,1500,MG,+ 400 UI COM CT FR PLAS ,60,
1500 MG + 400 UI COM CX 50 FR PLAS X 60 (EMB HOSP),1500,MG,+ 400 UI COM C FR PLAS  (EMB HOSP),50,
25 MG/ML SOL INJ CX 10 AMP VD INC X 3 ML ,25,MG/ML,SOL INJ C AMP VD INC  ML,10,
5 MG/ ML SOL INJ CX FA VD TRANS X 20 ML,5,MG/,ML SOL INJ CX FA VD TRANS  ML,20,
20 MG/ML SOL INJ IV CX 5 AMP VD TRANS X 5 ML,20,MG/ML,SOL INJ IV C AMP VD TRANS  ML,5,
"7,5 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML","7,5",MG/ML,SOL OR CT FR GOT PLAS OPC  ML,20,
40 MG/ML SUS OR CT FR PET AMB X 10 ML,40,MG/ML,SUS OR CT FR PET AMB  ML,10,
40 MG/ML SUS OR CT FR PLAS OPC X 10 ML,40,MG/ML,SUS OR CT FR PLAS OPC  ML,10,
400 MG +80 MG COM CT BL AL PLAS TRANS X 20,400,MG,+80  COM CT BL AL PLAS TRANS ,20,
40 MG/ML + 8 MG/ML SUS OR CT FR PET AMB X 100 ML + COP,40,MG/ML,+ 8  SUS OR CT FR PET AMB  ML + COP,100,
15 MG/ML SUS OR CT FR GOT PLAS OPC  X 20 ML,15,MG/ML,SUS OR CT FR GOT PLAS OPC   ML,20,
50 MG COM REV CT BL AL PLAS TRANS X 500,50,MG,CT BL AL PLAS TRANS ,500,COM REV
10 MG/G GEL TOP CT BG PLAS AL OPC X 60 G,10,MG/G,GEL TOP CT BG PLAS AL OPC  G,60,
25 MG COM CT BL AL PLAS PVC TRANS X 30,25,MG,COM CT BL AL PLAS PVC TRANS ,30,
500 MG CAP GEL DURA CT BL AL PLAS TRANS X 21,500,MG,CAP GEL DURA CT BL AL PLAS TRANS ,21,
50 MG/ML PO SUS OR CT FR PLAS OPC  X 150 ML + COP,50,MG/ML,PO SUS OR CT FR PLAS OPC   ML + COP,150,
20 MG/G LOÇÃO CT FR PLAS OPC X 30 ML,20,MG/G,LOÇÃO CT FR PLAS OPC  ML,30,
20 MG/G CREM DERM CT BG AL X 28G,20,MG/G,CREM DERM CT BG AL G,28,
(100 + 50 + 10) MG/ML SOL OR CX 10 FLAC PLAS PP TRANS X 10 ML,(100 + 50 + 10),MG/ML,SOL OR C FLAC PLAS PP TRANS  ML,10,
(100 + 50 + 10) MG/ML SOL OR CT 10 FLAC PLAS PP TRANS X 10ML,(100 + 50 + 10),MG/ML,SOL OR CT 10 FLAC PLAS PP TRANS ML,10,
(100 + 50 + 10) MG/ML SOL OR CT 48 FLAC PLAS PP TRANS X 10 ML,(100 + 50 + 10),MG/ML,SOL OR CT 48 FLAC PLAS PP TRANS  ML,10,
50 MG/G CREM DERM CT BG X 10 G,50,MG/G,CREM DERM CT BG  G,10,
200 MG COM CT BL AL PLAS TRANS X 30,200,MG,COM CT BL AL PLAS TRANS ,30,
"0,5 MG/ML SOL NAS CT FR GOT PLAS PEAD/PEBD TRANSL X 30 ML ","0,5",MG/ML,SOL NAS CT FR GOT PLAS PEAD/PEBD TRANSL  ML,30,
200 MG COM CT BL AL PLAS TRANS X 10,200,MG,COM CT BL AL PLAS TRANS ,10,
50 MG/ML XPE ADU CT FR VD AMB X 100 ML ,50,MG/ML,XPE ADU CT FR VD AMB  ML,100,
20 MG/ML XPE PED CT FR VD AMB X 100 ML ,20,MG/ML,XPE PED CT FR VD AMB  ML,100,
50 MG/ML XPE ADU CT FR PLAS AMB X 100 ML ,50,MG/ML,XPE ADU CT FR PLAS AMB  ML,100,
20 MG/ML XPE PED CT FR PLAS AMB X 100 ML,20,MG/ML,XPE PED CT FR PLAS AMB  ML,100,
10 MG/ML LOC CT FR PLAS OPC X 60ML ,10,MG/ML,LOC CT FR PLAS OPC ML,60,
"3,0 MG PAST CT 3 STR X 4 (SABOR LARANJA)","3,0",MG,PAST CT 3 STR  (SABOR LARANJA),4,
10 MG + 250 MG COM REV CT BL AL PLAS TRANS X 10 ,10,MG,+ 250   CT BL AL PLAS TRANS X,10,COM REV
300 MG + 50 MG + 35 MG COM CT BL AL PLAS PVC TRANS X 30,300,MG,+ 50  + 35  COM CT BL AL PLAS PVC TRANS ,30,
300 MG + 50 MG + 35 MG COM CT BL AL PLAS PVC TRANS X 100,300,MG,+ 50  + 35  COM CT BL AL PLAS PVC TRANS ,100,
300 MG + 50 MG + 35 MG COM CT BL AL PLAS PVC TRANS X 60,300,MG,+ 50  + 35  COM CT BL AL PLAS PVC TRANS ,60,
300 MG + 50 MG + 35 MG COM CT BL AL PLAS PVC TRANS X 36,300,MG,+ 50  + 35  COM CT BL AL PLAS PVC TRANS ,36,
(100 + 2 + 2) MG/ML SOL OR CT FR GOT PLAS PE OPC X 20 ML,(100 + 2 + 2),MG/ML,SOL OR CT FR GOT PLAS PE OPC  ML,20,
10 MG COM CT BL AL PLAS PVC/PVDC TRANS X 500,10,MG,COM CT BL AL PLAS PVC/PVDC TRANS ,500,
20 MG COM CT BL AL PLAS PVC/PVDC TRANS X 500,20,MG,COM CT BL AL PLAS PVC/PVDC TRANS ,500,
5 MG COM CT BL AL PLAS PVC/PVDC TRANS X 500,5,MG,COM CT BL AL PLAS PVC/PVDC TRANS ,500,
20 MG COM CT BL AL AL X 30,20,MG,COM CT BL AL AL ,30,
10 MG COM CT BL AL AL X 30,10,MG,COM CT BL AL AL ,30,
100 MG COM CT BL AL PLAS TRANS X 12 ,100,MG,COM CT BL AL PLAS TRANS ,12,
50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML,50,MG/ML,SUS OR CT FR PLAS OPC GOT  ML,15,
100 MG COM CX BL AL PLAS TRANS X 600,100,MG,COM CX BL AL PLAS TRANS ,600,
150 MG COM REV CT BL AL PLAS X 20,150,MG,CT BL AL PLAS ,20,COM REV
150 MG COM REV CT STR AL X 20,150,MG,CT STR AL ,20,COM REV
80 MG/ML + 10 MG/ML + 1 MG/ML LOÇAO CT FR PLAS OPC X 100 ML,80,MG/ML,+ 10  + 1  LOÇAO CT FR PLAS OPC  ML,100,
20 MG CAP DURA LIB RETARD CT BL AL PVC TRANS X 14,20,MG,CAP DURA LIB RETARD CT BL AL PVC TRANS ,14,
20 MG CAP DURA LIB RETARD CT BL AL PVC TRANS X 28,20,MG,CAP DURA LIB RETARD CT BL AL PVC TRANS ,28,
20 MG CAP DURA LIB RETARD CT BL AL PVC TRANS X 112,20,MG,CAP DURA LIB RETARD CT BL AL PVC TRANS ,112,
25 MG COM CT BL AL PLAS PVC TRANS X 30,25,MG,COM CT BL AL PLAS PVC TRANS ,30,
50 MG COM CT BL AL PLAS PVC TRANS X 20,50,MG,COM CT BL AL PLAS PVC TRANS ,20,
25 MG COM CT BL AL PLAS PVC TRANS X 500,25,MG,COM CT BL AL PLAS PVC TRANS ,500,
80 MG COM REV CT BL AL AL X 30,80,MG,CT BL AL AL ,30,COM REV
20 MG COM REV CT BL AL PLAS TRANS X 30,20,MG,CT BL AL PLAS TRANS ,30,COM REV
20 MG COM REV CT BL AL PLAS TRANS X 500,20,MG,CT BL AL PLAS TRANS ,500,COM REV
40 MG COM REV CT BL AL PLAS TRANS X 30,40,MG,CT BL AL PLAS TRANS ,30,COM REV
850 MG COM CT BL AL PLAS TRANS X 30,850,MG,COM CT BL AL PLAS TRANS ,30,
50 MG COM REV CT BL AL  AL X 20,50,MG,CT BL AL  AL ,20,COM REV
5000 UI/G + 900 UI/G + 150 MG/G POM CT BG PLAS AL OPC X 45 G ,5000,UI/G,+ 900  + 150 MG/G POM CT BG PLAS AL OPC  G,45,
"1,5 MG/ML COLUT CT FR SPR PLAS OPC X 30 ML (SBR MENTA)","1,5",MG/ML,COLUT CT FR SPR PLAS OPC  ML (SBR MENTA),30,
"1,5 MG/ML COLUT CT FR SPR PLAS OPC X 30 ML (SBR MEL)","1,5",MG/ML,COLUT CT FR SPR PLAS OPC  ML (SBR MEL),30,
3 MG PAS DURA CT BL AL PLAS TRANS  X 12 (SBR CEREJA),3,MG,PAS DURA CT BL AL PLAS TRANS   (SBR CEREJA),12,
3 MG PAS DURA CT BL AL PLAS TRANS X 12 (SBR LARANJA),3,MG,PAS DURA CT BL AL PLAS TRANS  (SBR LARANJA),12,
3 MG PAS DURA CT BL AL PLAS TRANS X 12 (SBR MENTA-LIMÃO DIET),3,MG,PAS DURA CT BL AL PLAS TRANS  (SBR MENTA-LIMÃO DIET),12,
3 MG PAS DURA CT BL AL PLAS TRANS X 12 (SBR MENTA-LIMÃO) ,3,MG,PAS DURA CT BL AL PLAS TRANS  (SBR MENTA-LIMÃO),12,
3 MG PAS DURA CT BL AL PLAS TRANS X 12 (SBR MEL-LIMÃO),3,MG,PAS DURA CT BL AL PLAS TRANS  (SBR MEL-LIMÃO),12,
"0,05 MG + 0,4 MG / ML XPE CT FR VD AMB X 120 ML ","0,05",MG,"+ 0,4  / ML XPE CT FR VD AMB  ML",120,
"0,05 MG/ML + 0,40 MG/ML XPE CT FR PET AMB X 120 ML","0,05",MG/ML,"+ 0,40  XPE CT FR PET AMB  ML",120,
"0,25 MG + 2,0 MG COM CT BL AL PLAS OPC X 20","0,25",MG,"+ 2,0  COM CT BL AL PLAS OPC ",20,
"(20,0 + 0,64 + 2,5) MG / G CREM DERM CT BG AL X 30 G","(20,0 + 0,64 + 2,5)",MG,/ G CREM DERM CT BG AL  G,30,
"(20,0 + 0,64 + 2,5) MG / G CREM DERM CT BG AL X 15 G ","(20,0 + 0,64 + 2,5)",MG,/ G CREM DERM CT BG AL  G,15,
(5 MG + 250 UI)/G POM DERM CT BG AL X 15 G ,(5 MG + 250 UI),/G,POM DERM CT BG AL  G,15,
(5 MG + 250 UI)/G POM DERM CT BG AL X 50 G ,(5 MG + 250 UI),/G,POM DERM CT BG AL  G,50,
6 MG/ML XPE ADU CT FR PET AMB X 120 ML + COP (SABOR MEL/EUCALIPTO),6,MG/ML,XPE ADU CT FR PET AMB  ML + COP (SABOR MEL/EUCALIPTO),120,
3 MG/ML XPE INF CT FR PET AMB X 120 ML + COP (SABOR MEL),3,MG/ML,XPE INF CT FR PET AMB  ML + COP (SABOR MEL),120,
"0,75 MG COM CT BL AL PLAS PVC TRANS X 2","0,75",MG,COM CT BL AL PLAS PVC TRANS ,2,
"1,5 MG COM CT BL AL PLAS PVC TRANS X 1","1,5",MG,COM CT BL AL PLAS PVC TRANS ,1,
3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,3,MG/ML,XPE CT FR VD AMB  ML + CP MED,120,
6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ,6,MG/ML,XPE CT FR VD AMB  ML + CP MED,120,
3 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ,3,MG/ML,XPE CT FR PLAS AMB  ML + CP MED,120,
6 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ,6,MG/ML,XPE CT FR PLAS AMB  ML + CP MED,120,
1 MG/ML XPE CT FR PLAS AMB X 100 ML + COP,1,MG/ML,XPE CT FR PLAS AMB  ML + COP,100,
"20 MG/ML + 1,30 MG/ML SOL TOP CT FR PLAS OPC SPRAY X 50 ML ",20,MG/ML,"+ 1,30  SOL TOP CT FR PLAS OPC SPRAY  ML",50,
20 MG/ML XPE CT FR PLAS AMB X 100 ML + COP,20,MG/ML,XPE CT FR PLAS AMB  ML + COP,100,
50 MG/ML XPE CT FR PLAS AMB X 100 ML + COP,50,MG/ML,XPE CT FR PLAS AMB  ML + COP,100,
"13,33 MG/ML XPE CT FR PLAS PET TRANS X 120 ML + COP (SBR MEL) ","13,33",MG/ML,XPE CT FR PLAS PET TRANS  ML + COP (SBR MEL),120,
400 MG COM REV CT BL PVC/PVDC AL X 6 (BRANCO) + 400 MG + 20 MG COM REV CT BL PVC/PVDC AL X 6 (AMARELO),400,MG,CT BL PVC/PVDC AL  (BRANCO) +   + 20   CT BL PVC/PVDC AL  (AMARELO),6,COM REV
400 MG COM REV CT BL PVC/PVDC AL X 10 (BRANCO) + 400 MG + 20 MG COM REV CT BL PVC/PVDC AL X 10 (AMARELO),400,MG,CT BL PVC/PVDC AL  (BRANCO) +   + 20   CT BL PVC/PVDC AL  (AMARELO),10,COM REV
20 MG/G CREM DERM CT BG AL X 30 G,20,MG/G,CREM DERM CT BG AL  G,30,
"(0,4 + 0,05) MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP","(0,4 + 0,05)",MG/ML,XPE CT FR PLAS PET AMB  ML + COP,120,
10 MG/G GEL CT BG PLAS PE AL OPC X 60,10,MG/G,GEL CT BG PLAS PE AL OPC ,60,
20 MG/G LOÇÃO CT FR PLAS OPC X 30 ML,20,MG/G,LOÇÃO CT FR PLAS OPC  ML,30,
20 MG/ G CREM CT BG AL X 30 G ,20,MG/,G CREM CT BG AL  G,30,
20 MG/ ML XAMP CT FR PLAS OPC X 100 ML,20,MG/,ML XAMP CT FR PLAS OPC  ML,100,
500 MG COM CT BL AL PLAS PVC TRANS X 100 (EMB MULT),500,MG,COM CT BL AL PLAS PVC TRANS  (EMB MULT),100,
100 MG COM CT BL AL PLAS PVC TRANS X 200 (EMB MULT),100,MG,COM CT BL AL PLAS PVC TRANS  (EMB MULT),200,
500 MG COM CT BL AL PLAS PVDC TRANS X 100 (EMB MULT),500,MG,COM CT BL AL PLAS PVDC TRANS  (EMB MULT),100,
100 MG COM CT BL AL PLAS PVDC TRANS X 200 (EMB MULT),100,MG,COM CT BL AL PLAS PVDC TRANS  (EMB MULT),200,
500 MG COM CT BL AL PLAS PVDC TRANS X 20,500,MG,COM CT BL AL PLAS PVDC TRANS ,20,
100 MG COM CT BL AL PLAS PVDC TRANS X 30,100,MG,COM CT BL AL PLAS PVDC TRANS ,30,
20 MG/ML XAMP CT FR PLAS OPC X 100 ML,20,MG/ML,XAMP CT FR PLAS OPC  ML,100,
200 MG/ML SOL CT FR GOT PLAS OPC X 15 ML,200,MG/ML,SOL CT FR GOT PLAS OPC  ML,15,
100 MG/G PO SOL OR CT 50 ENV AL PLAS PE X 5 G ,100,MG/G,PO SOL OR CT 50 ENV AL PLAS PE  G,5,
500 MG CAP DURA CT BL AL PLAS TRANS X 21,500,MG,CAP DURA CT BL AL PLAS TRANS ,21,
50 MG/ML PO SUS  CT FR VD AMB X 150 ML + COP,50,MG/ML,PO SUS  CT FR VD AMB  ML + COP,150,
50 MG/ML PO SUS  CT FR PLAS OPC X 150 ML + COP,50,MG/ML,PO SUS  CT FR PLAS OPC  ML + COP,150,
50 MG/ML PO SUS  CX 50 FR PLAS OPC X 150 ML + 50 COP,50,MG/ML,PO SUS  CX  FR PLAS OPC  ML +  COP,50,
50 MG/ML PO SUS  CX 50 FR PLAS OPC X 60 ML + 50 COP,50,MG/ML,PO SUS  CX  FR PLAS OPC  ML +  COP,50,
50 MG/ML PO SUS  CT FR PLAS OPC X 60 ML + COP,50,MG/ML,PO SUS  CT FR PLAS OPC  ML + COP,60,
20 MG/G CREM DERM CT BG AL X 28 G,20,MG/G,CREM DERM CT BG AL  G,28,
500 MG CAP DURA CT BL AL PLAS PVC TRANS X 8,500,MG,CAP DURA CT BL AL PLAS PVC TRANS ,8,
150 MG CAP DURA CT BL AL PLAS TRANS X 1 ,150,MG,CAP DURA CT BL AL PLAS TRANS ,1,
150 MG CAP  DURA CT BL AL PLAS TRANS X 2,150,MG,CAP  DURA CT BL AL PLAS TRANS ,2,
"(0,5 + 1,0) MG/G CREM DERM CT BG AL X 30 G  ","(0,5 + 1,0)",MG/G,CREM DERM CT BG AL  G,30,
30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 20,30,MG,+ 0  +    CT BL AL PLAS PVC/PE/PVDC TRANS ,20,COM REV
30 MG + 300 MG + 30 MG COM REV CT BL AL PLAS PVC/PE/PVDC TRANS X 100,30,MG,+ 0  +    CT BL AL PLAS PVC/PE/PVDC TRANS ,100,COM REV
5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G,5,MG/G,+ 20 UI/G POM DERM CT BG AL  G,15,
500 MG COM REV CT BL AL PLAS TRANS X 10,500,MG,CT BL AL PLAS TRANS ,10,COM REV
500 MG COM REV CT BL AL PLAS TRANS X 14,500,MG,CT BL AL PLAS TRANS ,14,COM REV
100 MG/ ML SUS OR CT FR PLAS OPC X 15 ML + SER DOS,100,MG/,ML SUS OR CT FR PLAS OPC  ML + SER DOS,15,
750 MG COM CT BL AL PLAS AMB X 20,750,MG,COM CT BL AL PLAS AMB ,20,
750 MG COM CT BL AL PLAS AMB X 200 (EMB MULT),750,MG,COM CT BL AL PLAS AMB  (EMB MULT),200,
750 MG COM CT BL AL PLAS AMB X 100 (EMB MULT),750,MG,COM CT BL AL PLAS AMB  (EMB MULT),100,
"(0,5 + 1,0 + 10,0 + 10,0) MG/G POM DERM CT BG AL X 20 G ","(0,5 + 1,0 + 10,0 + 10,0)",MG/G,POM DERM CT BG AL  G,20,
"(0,5 + 1,0) MG/G CREM DERM CT BG AL X 30 G ","(0,5 + 1,0)",MG/G,CREM DERM CT BG AL  G,30,
"(0,5 + 1,0 + 10,0 + 10,0) MG/G CREM DERM CT BG AL X 20 G","(0,5 + 1,0 + 10,0 + 10,0)",MG/G,CREM DERM CT BG AL  G,20,
"0,4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED","0,4",MG/ML,SOL OR CT FR PLAS AMB  ML + CP MED,120,
10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ,10,MG/ML,XPE CT FR PLAS AMB  ML + CP MED,120,
5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED,5,MG/ML,XPE CT FR PLAS AMB  ML + CP MED,120,
10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),10,MG/ML,XPE C FR PLAS AMB  ML + 50 CP MED (EMB HOSP),50,
5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),5,MG/ML,XPE C FR PLAS AMB  ML + 0 CP MED (EMB HOSP),50,
50 MG/G POM DERM CT BG AL X 30G,50,MG/G,POM DERM CT BG AL G,30,
50 MG/G POM DERM CT BG PLAS AL OPC X 30 G,50,MG/G,POM DERM CT BG PLAS AL OPC  G,30,
100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC ,100,MG/G,GEL VAG CT BG AL  G + 10 APLIC,50,
40 MG COM CT BL AL PLAS TRANS X 30,40,MG,COM CT BL AL PLAS TRANS ,30,
5 MG COM REV CT BL AL PLAS PVC TRANS X 30,5,MG,CT BL AL PLAS PVC TRANS ,30,COM REV
20 MG/G GEL CT BG AL X 30G,20,MG/G,GEL CT BG AL G,30,
850 MG COM CT BL AL PLAS TRANS X 30,850,MG,COM CT BL AL PLAS TRANS ,30,
20 MG COM CT BL AL AL X 30,20,MG,COM CT BL AL AL ,30,
10 MG COM CT BL AL AL X 30,10,MG,COM CT BL AL AL ,30,
"1,0 MG/G CREM DERM CT BG AL X 10 G ","1,0",MG/G,CREM DERM CT BG AL  G,10,
2MG COM CT BL AL PLAS TRANS X 30,2MG,COM,CT BL AL PLAS TRANS ,30,
4MG COM CT BL AL PLAS TRANS X 30,4MG,COM,CT BL AL PLAS TRANS ,30,
2MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,2MG,COM,CT BL AL PLAS PVC/PE/PVDC TRANS ,30,
2MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 450,2MG,COM,CT BL AL PLAS PVC/PE/PVDC TRANS ,450,
4MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,4MG,COM,CT BL AL PLAS PVC/PE/PVDC TRANS ,30,
4MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 450,4MG,COM,CT BL AL PLAS PVC/PE/PVDC TRANS ,450,
1 MG/G PAST CT BG AL X 10,1,MG/G,PAST CT BG AL ,10,
"0,4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED","0,4",MG/ML,SOL OR CT FR PLAS AMB  ML + CP MED,120,
10 MG/G CREM DERM CT BG AL X 30 G ,10,MG/G,CREM DERM CT BG AL  G,30,
5 MG COM REV LIB RETARD CT BL AL PLAS TRANS X 20 ,5,MG,LIB RETARD CT BL AL PLAS TRANS ,20,COM REV
4 MG/ML SOL OR CT FR GOT PLAS OPC X 10 ML,4,MG/ML,SOL OR CT FR GOT PLAS OPC  ML,10,
25 MG COM CT BL AL PLAS TRANS X 500,25,MG,COM CT BL AL PLAS TRANS ,500,
15 MG/ML SUS OR CT FR GOT PLAS OPC X 20 ML,15,MG/ML,SUS OR CT FR GOT PLAS OPC  ML,20,
500 MG COM REV CT BL AL PLAS PVC TRANS X 7,500,MG,CT BL AL PLAS PVC TRANS ,7,COM REV
500 MG COM REV CT BL AL PLAS PVC TRANS X 10,500,MG,CT BL AL PLAS PVC TRANS ,10,COM REV
5 MG COM CT BL AL PLAS PVC/PE/PVDC OPC X 30,5,MG,COM CT BL AL PLAS PVC/PE/PVDC OPC ,30,
10 MG COM CT BL AL PLAS PVC/PE/PVDC OPC X 30,10,MG,COM CT BL AL PLAS PVC/PE/PVDC OPC ,30,
4 MG/ML SOL OR CT FR GOT PLAS OPC  X 10 ML,4,MG/ML,SOL OR CT FR GOT PLAS OPC   ML,10,
5 MG COM CT BL AL PLAS OPC X 30,5,MG,COM CT BL AL PLAS OPC ,30,
10 MG COM CT BL AL PLAS OPC X 30,10,MG,COM CT BL AL PLAS OPC ,30,
(460 + 100 + 440) MG/G PO EFEV CT 60 ENV AL PLAS PE X 5 G,(460 + 100 + 440),MG/G,PO EFEV CT 60 ENV AL PLAS PE  G,5,
(460 + 100 + 440) MG/G PO EFEV FR PLAS PEAD OPC X 100 G,(460 + 100 + 440),MG/G,PO EFEV FR PLAS PEAD OPC  G,100,
25 MG COM CT BL AL PLAS TRANS X 30,25,MG,COM CT BL AL PLAS TRANS ,30,
50 MG COM CT BL AL PLAS TRANS X 30,50,MG,COM CT BL AL PLAS TRANS ,30,
20 MG COM REV CT BL AL PLAS TRANS X 30,20,MG,CT BL AL PLAS TRANS ,30,COM REV
20 MG COM REV CT BL AL PLAS TRANS X 500,20,MG,CT BL AL PLAS TRANS ,500,COM REV
40 MG COM REV CT BL AL PLAS TRANS X 30,40,MG,CT BL AL PLAS TRANS ,30,COM REV
40 MG COM REV CT BL AL PLAS PVC TRANS X 600,40,MG,CT BL AL PLAS PVC TRANS ,600,COM REV
40 MG COM REV CX BL AL PLAS PVC TRANS X 600,40,MG,CX BL AL PLAS PVC TRANS ,600,COM REV
400MG COM REV CT BL AL/PLAS TRANS X 14,400MG,COM,REV CT BL AL/PLAS TRANS ,14,
50 MG COM REV CT BL AL PLAS TRANS X 20,50,MG,CT BL AL PLAS TRANS ,20,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 20,50,MG,CT BL AL PLAS TRANS ,20,COM REV
10 MG COM REV CT STR AL X 30,10,MG,CT STR AL ,30,COM REV
10 MG COM REV CT STR AL X 90,10,MG,CT STR AL ,90,COM REV
20 MG COM REV CT STR AL X 30,20,MG,CT STR AL ,30,COM REV
20 MG COM REV CT STR AL X 90,20,MG,CT STR AL ,90,COM REV
20 MG COM REV CT BL AL PLAS OPC X 90,20,MG,CT BL AL PLAS OPC ,90,COM REV
40 MG COM REV CT STR AL X 30,40,MG,CT STR AL ,30,COM REV
5 MG COM REV CT BL AL PLAS TRANS X 30,5,MG,CT BL AL PLAS TRANS ,30,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 15,10,MG,CT BL AL PLAS TRANS ,15,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 30,10,MG,CT BL AL PLAS TRANS ,30,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 480,10,MG,CT BL AL PLAS TRANS ,480,COM REV
5 MG COM REV CT BL AL PLAS TRANS X 480,5,MG,CT BL AL PLAS TRANS ,480,COM REV
200 MG COM CT BL AL PLAS TRANS X 10,200,MG,COM CT BL AL PLAS TRANS ,10,
200 MG COM CT BL AL PLAS TRANS X 30,200,MG,COM CT BL AL PLAS TRANS ,30,
100 MG COM CT BL AL PLAS TRANS X 12 ,100,MG,COM CT BL AL PLAS TRANS ,12,
50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML,50,MG/ML,SUS OR CT FR PLAS OPC GOT  ML,15,
100 MG COM CX BL AL PLAS TRANS X 600,100,MG,COM CX BL AL PLAS TRANS ,600,
150 MG COM REV CT STR AL X 20,150,MG,CT STR AL ,20,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 30,50,MG,CT BL AL PLAS TRANS ,30,COM REV
50 MG COM REV CT BL AL PLAS TRANS X 500,50,MG,CT BL AL PLAS TRANS ,500,COM REV
100 MG COM REV CT BL AL PLAS TRANS X 30,100,MG,CT BL AL PLAS TRANS ,30,COM REV
50 MG/G CREM DERM CT BG X 10 G,50,MG/G,CREM DERM CT BG  G,10,
200 MG COM CT BL AL PLAS TRANS X 30,200,MG,COM CT BL AL PLAS TRANS ,30,
200 MG COM CT BL AL PLAS TRANS X 500,200,MG,COM CT BL AL PLAS TRANS ,500,
75 MG COM REV CT STR AL X 15,75,MG,CT STR AL ,15,COM REV
75 MG COM REV CT STR AL X 30,75,MG,CT STR AL ,30,COM REV
5 MG COM REV CT BL AL PLAS TRANS X 30,5,MG,CT BL AL PLAS TRANS ,30,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 15,10,MG,CT BL AL PLAS TRANS ,15,COM REV
10 MG COM REV CT BL AL PLAS TRANS X 30,10,MG,CT BL AL PLAS TRANS ,30,COM REV
400 MG COM MAST CT BL AL PLAS TRANS X 1,400,MG,COM MAST CT BL AL PLAS TRANS ,1,
400 MG COM MAST CT BL AL PLAS TRANS X 3,400,MG,COM MAST CT BL AL PLAS TRANS ,3,
40 MG COM CT BL AL PLAS TRANS X 40,40,MG,COM CT BL AL PLAS TRANS X,40,
150 MG COM REV CT STR AL X 20,150,MG,CT STR AL ,20,COM REV
150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ,150,MG,CAP GEL DURA CT BL AL PLAS INC ,1,
150 MG CAP GEL DURA CT BL AL PLAS INC X 2,150,MG,CAP GEL DURA CT BL AL PLAS INC ,2,
20 MG COM REV LIB RETARD CT STR AL X 28,20,MG,LIB RETARD CT STR AL ,28,COM REV
40 MG COM REV LIB RETARD CT STR AL X 28,40,MG,LIB RETARD CT STR AL ,28,COM REV
40 MG COM REV LIB RETARD CT STR AL X 42,40,MG,LIB RETARD CT STR AL ,42,COM REV
20 MG COM REV LIB RETARD CT BL AL AL X 28,20,MG,LIB RETARD CT BL AL AL ,28,COM REV
40 MG COM REV LIB RETARD CT BL AL AL X 28,40,MG,LIB RETARD CT BL AL AL ,28,COM REV
40 MG COM REV LIB RETARD CT BL AL AL X 42,40,MG,LIB RETARD CT BL AL AL ,42,COM REV
400 MG COM MAST CT BL AL PLAS TRANS X1,400,MG,COM MAST CT BL AL PLAS TRANS ,,
5 MG COM CT BL AL PLAS TRANS X 30,5,MG,COM CT BL AL PLAS TRANS ,30,
