APRESENTAÇÃO,Quantidade,Tipo de Produto,Detalhes da Embalagem,Unidades
5 MG COM REV CT BL AL PLAS PVC/PVDC TRANS  X 30,5 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 30
10 MG COM REV CT BL AL PLAS PVC/PVDC TRANS  X 30,10 MG,COM REV CT BL AL PLAS PVC,/PVDC TRANS,X 30
25 MG COM REV CT BL AL PLAS PVC/PVDC  OPC X 30,25 MG,COM REV CT BL AL PLAS PVC,/PVDC  OPC,X 30
25 MG COM REV CT BL AL PLAS PVC/PVDC  OPC X 90,25 MG,COM REV CT BL AL PLAS PVC,/PVDC  OPC,X 90
10 MG COM REV BL AL PLAS TRANS X 30,10 MG,COM REV BL AL PLAS TRANS X 30,,
5 MG COM REV BL AL PLAS TRANS X 10,5 MG,COM REV BL AL PLAS TRANS X 10,,
5 MG COM REV BL AL PLAS TRANS X 30,5 MG,COM REV BL AL PLAS TRANS X 30,,
50 MG COM REV LIB PROL CT BL AL PLAS TRANS PVDC X 7,50 MG,COM REV LIB PROL CT BL AL PLAS TRANS PVDC X 7,,
50 MG COM REV LIB PROL CT BL AL PLAS TRANS PVDC X 30,50 MG,COM REV LIB PROL CT BL AL PLAS TRANS PVDC X 30,,
100 MG COM REV LIB PROL CT BL AL PLAS TRANS PVDC X 30,100 MG,COM REV LIB PROL CT BL AL PLAS TRANS PVDC X 30,,
250 MG COM REV LIB PROL CT BL AL AL X 6,250 MG,COM REV LIB PROL CT BL AL AL X 6,,
250 MG COM REV LIB PROL CT BL AL AL X 30,250 MG,COM REV LIB PROL CT BL AL AL X 30,,
500 MG COM REV LIB PROL CT BL AL AL X 6,500 MG,COM REV LIB PROL CT BL AL AL X 6,,
500 MG COM REV LIB PROL CT  BL AL AL X 30,500 MG,COM REV LIB PROL CT  BL AL AL X 30,,
250 MG COM REV LIB PROL CT BL AL AL X 10,250 MG,COM REV LIB PROL CT BL AL AL X 10,,
250 MG COM REV LIB PROL CT BL AL AL X 60,250 MG,COM REV LIB PROL CT BL AL AL X 60,,
250 MG COM REV LIB PROL CT BL AL AL X 90,250 MG,COM REV LIB PROL CT BL AL AL X 90,,
500 MG COM REV LIB PROL CT BL AL AL X 10,500 MG,COM REV LIB PROL CT BL AL AL X 10,,
500 MG COM REV LIB PROL CT BL AL AL X 60,500 MG,COM REV LIB PROL CT BL AL AL X 60,,
500 MG COM REV LIB PROL CT BL AL AL X 90,500 MG,COM REV LIB PROL CT BL AL AL X 90,,
100 MG PO LIOF SOL INJ IV CT FA VD TRANS X 10 ML,100 MG,PO LIOF SOL INJ IV CT FA VD TRANS X 10 ML,,
500 MG PO LIOF SOL INJ IV CT FA VD TRANS X 50 ML,500 MG,PO LIOF SOL INJ IV CT FA VD TRANS X 50 ML,,
1 MG COM REV CT BL AL PLAS PVC TRANS X 30,1 MG,COM REV CT BL AL PLAS PVC TRANS X 30,,
1 MG COM REV CT BL AL PLAS PVC TRANS X 90,1 MG,COM REV CT BL AL PLAS PVC TRANS X 90,,
1 MG COM REV CT BL AL PLAS PVC TRANS X 200,1 MG,COM REV CT BL AL PLAS PVC TRANS X 200,,
1 MG COM REV CT BL AL PLAS PVC TRANS X 500,1 MG,COM REV CT BL AL PLAS PVC TRANS X 500,,
250 MG COM CT FR PLAS PEAD OPC X 120,250 MG,COM CT FR PLAS PEAD OPC X 120,,
"2,5 MG COM REV CT BL AL PLAS TRANS X 28","2,5 MG",COM REV CT BL AL PLAS TRANS X 28,,
"3,5 MG PO LIOF SOL INJ CT FA VD TRANS","3,5 MG",PO LIOF SOL INJ CT FA VD TRANS,,
25 MG COM CT BL AL PLAS TRANS X 30 ,25 MG,COM CT BL AL PLAS TRANS X 30,,
50 MG COM CT BL AL PLAS TRANS X 30  ,50 MG,COM CT BL AL PLAS TRANS X 30,,
100 MG COM CT BL AL PLAS TRANS X 30  ,100 MG,COM CT BL AL PLAS TRANS X 30,,
25 MG COM CT BL AL PLAS TRANS X 10,25 MG,COM CT BL AL PLAS TRANS X 10,,
25 MG COM CT BL AL PLAS TRANS X 500,25 MG,COM CT BL AL PLAS TRANS X 500,,
50 MG COM CT BL AL PLAS TRANS X 10,50 MG,COM CT BL AL PLAS TRANS X 10,,
50 MG COM CT BL AL PLAS TRANS X 500,50 MG,COM CT BL AL PLAS TRANS X 500,,
100 MG COM CT BL AL PLAS TRANS X 10,100 MG,COM CT BL AL PLAS TRANS X 10,,
100 MG COM CT BL AL PLAS TRANS X 500,100 MG,COM CT BL AL PLAS TRANS X 500,,
"0,5 MG COM CT BL AL AL X 2","0,5 MG",COM CT BL AL AL X 2,,
"0,5 MG COM CT BL AL AL X 8","0,5 MG",COM CT BL AL AL X 8,,
100 MG PO LIOF SOL INJ IV CT FA VD TRANS X 10 ML,100 MG,PO LIOF SOL INJ IV CT FA VD TRANS X 10 ML,,
500 MG PO LIOF SOL INJ IV CT FA VD TRANS X 50 ML,500 MG,PO LIOF SOL INJ IV CT FA VD TRANS X 50 ML,,
50 MG PÓ LIOF SOL INJ IV CT FA VD TRANS + DIL FA VD TRANS X 10 ML,50 MG,PÓ LIOF SOL INJ IV CT FA VD TRANS,+ DIL FA VD TRANS  ML,X 10
50 MG/ML SOL CAPI CT FR PLAS OPC X 50 ML + VALV SPR,50 MG,,/ML SOL CAPI CT FR PLAS OPC  ML + VALV SPR,X 50
60 MG CAP DURA LIB RETARD CT BL AL AL X 10,60 MG,CAP DURA LIB RETARD CT BL AL AL X 10,,
60 MG CAP DURA LIB RETARD CT BL AL AL X 30,60 MG,CAP DURA LIB RETARD CT BL AL AL X 30,,
60 MG CAP DURA LIB RETARD CT BL AL AL X 60,60 MG,CAP DURA LIB RETARD CT BL AL AL X 60,,
30 MG COM LIB PROL BL AL PLAS PVC/PVDC TRANS X 30,30 MG,COM LIB PROL BL AL PLAS PVC,/PVDC TRANS,X 30
30 MG COM LIB PROL BL AL PLAS PVC/PVDC TRANS X 60,30 MG,COM LIB PROL BL AL PLAS PVC,/PVDC TRANS,X 60
30 MG COM LIB PROL BL AL PLAS PVC/PVDC TRANS X 500,30 MG,COM LIB PROL BL AL PLAS PVC,/PVDC TRANS,X 500
30 MG COM LIB PROL BL AL PLAS PVC/PVDC TRANS X 1000,30 MG,COM LIB PROL BL AL PLAS PVC,/PVDC TRANS,X 1000
30 MG COM LIB PROL BL AL PLAS PVC/PVDC TRANS X 90,30 MG,COM LIB PROL BL AL PLAS PVC,/PVDC TRANS,X 90
100 MG COM REV CT BL AL AL X 60,100 MG,COM REV CT BL AL AL X 60,,
100 MG COM REV CT BL AL AL DESSEC X 60,100 MG,COM REV CT BL AL AL DESSEC X 60,,
400 MG COM REV CT BL AL AL X 30,400 MG,COM REV CT BL AL AL X 30,,
400 MG COM REV CT BL AL AL DESSEC X 30,400 MG,COM REV CT BL AL AL DESSEC X 30,,
100 MG COM REV CT BL AL AL X 60,100 MG,COM REV CT BL AL AL X 60,,
100 MG COM REV CT BL AL AL DESSEC X 60,100 MG,COM REV CT BL AL AL DESSEC X 60,,
400 MG COM REV CT BL AL AL X 30,400 MG,COM REV CT BL AL AL X 30,,
400 MG COM REV CT BL AL AL DESSEC X 30,400 MG,COM REV CT BL AL AL DESSEC X 30,,
150 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 20,150 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
150 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,150 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
150 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 60,150 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
150 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 90,150 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 90
300 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 20,300 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 20
300 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 30,300 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 30
300 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 60,300 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 60
300 MG COM CT BL AL PLAS PVC/PE/PVDC TRANS X 90,300 MG,COM CT BL AL PLAS PVC,/PE/PVDC TRANS,X 90
1 MG/ML SOL OFT CT FR GOT PLAS PEBD OPC  X 5 ML,1 MG,,/ML SOL OFT CT FR GOT PLAS PEBD OPC   ML,X 5
"2 MG/ML SOL OFT CT FR GOT PLAS PEBD OPC X 2,5 ML",2 MG,,"/ML SOL OFT CT FR GOT PLAS PEBD OPC ,5 ML",X 2
"50,0 MCG/ML + 5,0 MG/ML SOL OFT CT FR GOT PLAS PEBD OPC X 2,5 ML","50,0 MCG",,"/ML + 5,0 MG/ML SOL OFT CT FR GOT PLAS PEBD OPC ,5 ML",X 2
100 MG CAP MOLE CT BL AL AL X 60,100 MG,CAP MOLE CT BL AL AL X 60,,
150 MG CAP MOLE CT BL AL AL X 60,150 MG,CAP MOLE CT BL AL AL X 60,,
100 MG CAP MOLE CT BL AL AL X 60,100 MG,CAP MOLE CT BL AL AL X 60,,
150 MG CAP MOLE CT BL AL AL X 60,150 MG,CAP MOLE CT BL AL AL X 60,,
4 MG COM ORODISP CT BL AL PLAS PVC/PVDC OPC X 10,4 MG,COM ORODISP CT BL AL PLAS PVC,/PVDC OPC,X 10
4 MG COM ORODISP CT BL AL PLAS PVC/PVDC OPC X 30,4 MG,COM ORODISP CT BL AL PLAS PVC,/PVDC OPC,X 30
8 MG COM ORODISP CT BL AL PLAS PVC/PVDC OPC X 10,8 MG,COM ORODISP CT BL AL PLAS PVC,/PVDC OPC,X 10
8 MG COM ORODISP CT BL AL PLAS PVC/PVDC OPC X 30,8 MG,COM ORODISP CT BL AL PLAS PVC,/PVDC OPC,X 30
4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML,4 MG,,/ML SOL OR CT FR PLAS OPC GOT  ML,X 20
4 MG/ML SOL OR CX 160 FR PLAS OPC GOT X 20 ML (EMB HOSP)&nbsp;01,4 MG,,/ML SOL OR C FR PLAS OPC GOT X 20 ML (EMB HOSP)&nbsp;01,X 160
500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML,500 MG,,/ML SOL OR CT FR PLAS OPC GOT  ML,X 20
500 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 10 ML,500 MG,,/ML SOL OR CT 200 FR PLAS OPC GOT  ML,X 10
500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML,500 MG,,/ML SOL OR CT FR PLAS OPC GOT  ML,X 10
500 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 20 ML,500 MG,,/ML SOL OR CT 200 FR PLAS OPC GOT  ML,X 20
"0,1MG/ML+9MG/ML+0,5MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML(CLOR. DE SODIO+CLOR. DE NAFAZOLINA)&nbsp;01","0,1MG",,"/ML+9MG/ML+0,5MG/ML SOL NAS CT FR PLAS OPC GOT  ML(CLOR. DE SODIO+CLOR. DE NAFAZOLINA)&nbsp;01",X 30
"7,5 MG/ML SOL OR FR PLAS OPC CTG X 50 ML&nbsp;01","7,5 MG",,/ML SOL OR FR PLAS OPC CTG  ML&nbsp;01,X 50
30 MG / 5 ML XPE AD CT FR PET AMB X 120 ML,30 MG,,/ 5 ML XPE AD CT FR PET AMB  ML,X 120
15 MG / 5 ML XPE INF CT FR PET AMB X 120 ML,15 MG,,/ 5 ML XPE INF CT FR PET AMB  ML,X 120
10 MG/ML LOC CT FR PLAS OPC X 60 ML,10 MG,,/ML LOC CT FR PLAS OPC  ML,X 60
10 MG/ML LOC CX S/COLM 50 FR PLAS OPC X 60 ML,10 MG,,/ML LOC CX S/COLM 50 FR PLAS OPC  ML,X 60
50 MG/ML LOC CREM CT FR PLAS OPC 60 ML ,50 MG,,/ML LOC CREM CT FR PLAS OPC 60 ML,
50 MG/ML LOC CREM CX 50 FR PLAS OPC 60 ML,50 MG,,/ML LOC CREM C FR PLAS OPC 60 ML,X 50
500 MG/ML SOL OR CT FR PLAS OPC  GOT X 10 ML ,500 MG,,/ML SOL OR CT FR PLAS OPC  GOT  ML,X 10
500 MG/ML SOL OR CT 200 FR PLAS OPC  GOT X 10 ML,500 MG,,/ML SOL OR CT 200 FR PLAS OPC  GOT  ML,X 10
500 MG/ML SOL OR CT FR PLAS OPC  GOT X 20 ML,500 MG,,/ML SOL OR CT FR PLAS OPC  GOT  ML,X 20
500 MG/ML SOL OR CT 200 FR PLAS OPC  GOT X 20 ML,500 MG,,/ML SOL OR CT 200 FR PLAS OPC  GOT  ML,X 20
15 MG/5ML XPE INF CT FR PET AMB  X 100 ML,15 MG,,/5ML XPE INF CT FR PET AMB   ML,X 100
15 MG/5ML XPE INF CT 80 FR PET AMB  X 100 ML (EMB HOSP),15 MG,,/5ML XPE INF CT 80 FR PET AMB   ML (EMB HOSP),X 100
15 MG/5ML XPE INF CT FR PET AMB  X 120 ML,15 MG,,/5ML XPE INF CT FR PET AMB   ML,X 120
30 MG/5ML XPE AD CT FR PET AMB  X 100 ML,30 MG,,/5ML XPE AD CT FR PET AMB   ML,X 100
30 MG/5ML XPE AD CT 80 FR PET AMB  X 100 ML (EMB HOSP),30 MG,,/5ML XPE AD CT 80 FR PET AMB   ML (EMB HOSP),X 100
30 MG/5ML XPE AD CT FR PET AMB  X 120 ML,30 MG,,/5ML XPE AD CT FR PET AMB   ML,X 120
"7,5 MG/ML SOL OR CT FR PLAS OPC GOT X 50 ML ","7,5 MG",,/ML SOL OR CT FR PLAS OPC GOT  ML,X 50
"7,5 MG/ML SOL OR CT FR PLAS OPC GOT X 10000 ML","7,5 MG",,/ML SOL OR CT FR PLAS OPC GOT  ML,X 10000
200 MG/ML SOL OR CT FR PLASC OPC GOT X 15 ML,200 MG,,/ML SOL OR CT FR PLASC OPC GOT  ML,X 15
20 MG/ML XPE INF CT FR PLAS TRANSP X 100 ML +CP MED,20 MG,,/ML XPE INF CT FR PLAS TRANSP  ML +CP MED,X 100
20 MG/ML XPE INF CX 80 FR PLAS TRANSP X 100 ML + 80 CP MED (EMB HOSP),20 MG,,/ML XPE INF C FR PLAS TRANSP X 100 ML + 80 CP MED (EMB HOSP),X 80
50 MG/ML XPE AD CT FR PLAS TRANSP X 100 ML + CP MED,50 MG,,/ML XPE AD CT FR PLAS TRANSP  ML + CP MED,X 100
50 MG/ML XPE AD CX 80 FR PLAS TRANSP X 100 ML + 80 CP MED (EMB HOSP),50 MG,,/ML XPE AD C FR PLAS TRANSP X 100 ML + 80 CP MED (EMB HOSP),X 80
50 MG/G POM DERM CT BG AL X 30 G,50 MG,,/G POM DERM CT BG AL  G,X 30
20 MG/ML SHAMP CT FR PLAS X 100 ML,20 MG,,/ML SHAMP CT FR PLAS  ML,X 100
20 MG/ML SHAMP CX 80 FR PLAS X 100 ML (EMB HOSP),20 MG,,/ML SHAMP C FR PLAS X 100 ML (EMB HOSP),X 80
20 MG/ML SHAMP CT FR PLAS X 100 ML ,20 MG,,/ML SHAMP CT FR PLAS  ML,X 100
2 MG / ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD ,2 MG,,/ ML SOL OR CT FR PLAS AMB  ML + SER DOSAD,X 100
2 MG / ML SOL OR CX 80 FR PLAS AMB X 100 ML + 80 SER DOSAD (EMB HOSP),2 MG,,/ ML SOL OR C FR PLAS AMB X 100 ML + 80 SER DOSAD (EMB HOSP),X 80
10 MG / G CREM DERM CT BG AL REV X 30 G  ,10 MG,,/ G CREM DERM CT BG AL REV  G,X 30
10 MG / G CREM DERM CX 200 BG AL REV X 30 G,10 MG,,/ G CREM DERM C BG AL REV X 30 G,X 200
10 MG / G CREM DERM CT PT PLAS OPC X 400 G ,10 MG,,/ G CREM DERM CT PT PLAS OPC  G,X 400
10 MG / G CREM DERM CX 24 PT PLAS OPC X 400 G,10 MG,,/ G CREM DERM C PT PLAS OPC X 400 G,X 24
10 MG / G CREM DERM CT BG AL REV X 50 G  ,10 MG,,/ G CREM DERM CT BG AL REV  G,X 50
10 MG / G CREM DERM CX 200 BG AL REV X 50 G,10 MG,,/ G CREM DERM C BG AL REV X 50 G,X 200
15 MG / ML XPE CT FR PLAS AMB X 120 ML + CP MED ,15 MG,,/ ML XPE CT FR PLAS AMB  ML + CP MED,X 120
15 MG / ML XPE CX 70 FR PLAS AMB X 120 ML + 70 CP MED,15 MG,,/ ML XPE C FR PLAS AMB X 120 ML + 70 CP MED,X 70
200 MG/ML SOL OR CT FR GOT PLAS OPC X 15 ML,200 MG,,/ML SOL OR CT FR GOT PLAS OPC  ML,X 15
4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML,4 MG,,/ML SOL OR CT FR PLAS OPC GOT  ML,X 20
4 MG/ML SOL OR CX 160 FR PLAS OPC GOT X 20 ML,4 MG,,/ML SOL OR C FR PLAS OPC GOT X 20 ML,X 160
20 MG CAP GEL DURA CT BL AL PLAS TRANS X 28,20 MG,CAP GEL DURA CT BL AL PLAS TRANS X 28,,
20 MG CAP GEL DURA CT BL AL PLAS TRANS X 70 (EMB HOSP) ,20 MG,CAP GEL DURA CT BL AL PLAS TRANS X 70,(EMB HOSP),
20 MG/G CREM VAG CT BG AL X 80 G + 1 APLIC,20 MG,,/G CREM VAG CT BG AL  G + 1 APLIC,X 80
"40 MG/ML SOL INJ IV CT FA VD TRANS X 2,0 ML + DIL FA VD TRANS X 6,0 ML",40 MG,,"/ML SOL INJ IV CT FA VD TRANS ,0 ML + DIL FA VD TRANS X 6,0 ML",X 2
"40 MG/ML SOL INJ IV CT FA VD TRANS X 0,5 ML + DIL FA VD TRANS X 1,5 ML",40 MG,,"/ML SOL INJ IV CT FA VD TRANS ,5 ML + DIL FA VD TRANS X 1,5 ML",X 0
5 MG PO LIOF SOL INJ IV CT FA VD TRANS + DIL AMP VD TRANS X 5 ML,5 MG,PO LIOF SOL INJ IV CT FA VD TRANS,+ DIL AMP VD TRANS  ML,X 5
10 MG PO LIOF SOL INJ IV CT FA VD TRANS + DIL AMP VD TRANS X 10 ML,10 MG,PO LIOF SOL INJ IV CT FA VD TRANS,+ DIL AMP VD TRANS  ML,X 10
10 MG/ML SOL INJ CT FA VD TRANS X 1 ML,10 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 1
10 MG/ML SOL INJ CT FA VD TRANS X 5 ML,10 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 5
50 MG PO LIOF SOL INJ IV CT FA VD TRANS,50 MG,PO LIOF SOL INJ IV CT FA VD TRANS,,
1 MG/ML SOL INJ CT FA VD TRANS X 2 ML,1 MG,,/ML SOL INJ CT FA VD TRANS  ML,X 2
"0,05 MG/ML SOL INJ CT FA VD TRANS X 5 ML ","0,05 MG",,/ML SOL INJ CT FA VD TRANS  ML,X 5
20 MG/ML SOL DIL INFUS IV CT FA VD AMB X 2 ML ,20 MG,,/ML SOL DIL INFUS IV CT FA VD AMB  ML,X 2
20 MG/ML SOL DIL INFUS IV CT FA VD AMB X 5 ML ,20 MG,,/ML SOL DIL INFUS IV CT FA VD AMB  ML,X 5
6 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML,6 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 5
"6 MG/ML SOL INJ IV CT FA VD TRANS X 16,7 ML",6 MG,,"/ML SOL INJ IV CT FA VD TRANS ,7 ML",X 16
6 MG/ML SOL INJ IV CT FA VD TRANS X 50 ML,6 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 50
200 MG PO LIOF INJ CT FA VD TRANS X 10 ML,200 MG,PO LIOF INJ CT FA VD TRANS X 10 ML,,
1000 MG PO LIOF INJ CT FA VD TRANS X 50 ML,1000 MG,PO LIOF INJ CT FA VD TRANS X 50 ML,,
2 MG/ML SOL INJ IV CT FA VD TRANS X 5 ML,2 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 5
2 MG/ML SOL INJ IV CT FA VD TRANS X 25 ML,2 MG,,/ML SOL INJ IV CT FA VD TRANS  ML,X 25
"250 UI PO LIOF INJ IV CT FA VD TRANS + FA VD TRANS X 2,5 ML + DISP TRANSF",250 UI,PO LIOF INJ IV CT FA VD TRANS,"+ FA VD TRANS ,5 ML + DISP TRANSF",X 2
500 UI PO LIOF SOL INJ IV CT FA VD TRANS + FA VD TRANS X 5 ML + DISP TRANSF,500 UI,PO LIOF SOL INJ IV CT FA VD TRANS,+ FA VD TRANS  ML + DISP TRANSF,X 5
"650,90 MG/ML + 96,60 MG/ML SOL INJ CX 50 FA VD INC X 20 ML ","650,90 MG",,"/ML + 96,60 MG/ML SOL INJ C FA VD INC X 20 ML",X 50
"650,90 MG/ML + 96,60 MG/ML SOL INJ CX 25 FA VD INC X 50 ML ","650,90 MG",,"/ML + 96,60 MG/ML SOL INJ C FA VD INC X 50 ML",X 25
"650,90 MG/ML + 96,60 MG/ML SOL INJ CX 10 FA VD INC X 100 ML ","650,90 MG",,"/ML + 96,60 MG/ML SOL INJ C FA VD INC X 100 ML",X 10
300 MG/ML SOL INJ CX 25 FA VD INC X 50 ML,300 MG,,/ML SOL INJ C FA VD INC X 50 ML,X 25
300 MG/ML SOL INJ CT FA VD INC X 500 ML,300 MG,,/ML SOL INJ CT FA VD INC  ML,X 500
350 MG/ML SOL INJ CX 25 FA VD INC X 50 ML,350 MG,,/ML SOL INJ C FA VD INC X 50 ML,X 25
300 MG/ML SOL INJ CX 10 FA VD INC X 100 ML,300 MG,,/ML SOL INJ C FA VD INC X 100 ML,X 10
350 MG/ML SOL INJ CX 10 FA VD INC X 100 ML,350 MG,,/ML SOL INJ C FA VD INC X 100 ML,X 10
350 MG/ML SOL INJ CT FA VD INC X 500 ML,350 MG,,/ML SOL INJ CT FA VD INC  ML,X 500
25 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML,25 MG,,/ML SOL INJ CT 5 AMP VD INC  ML,X 2
"550,50 MG/ML SOL INJ CX 25 FA VD INC X 20 ML ","550,50 MG",,/ML SOL INJ C FA VD INC X 20 ML,X 25
"640,38 MG/ML + 93,24 MG/ML SOL INJ CX 25 FA VD INC X 50 ML","640,38 MG",,"/ML + 93,24 MG/ML SOL INJ C FA VD INC X 50 ML",X 25
"640,38 MG/ML + 93,24 MG/ML SOL INJ CX 10 FA VD INC X 100 ML + SUP + EQP","640,38 MG",,"/ML + 93,24 MG/ML SOL INJ C FA VD INC X 100 ML + SUP + EQP",X 10
480 MG/ML SOL INJ CT  AMP VD TRANS X 10 ML,480 MG,,/ML SOL INJ CT  AMP VD TRANS  ML,X 10
320 MG/ML IODO SOL INJ CT  FA X 50 ML ,320 MG,,/ML IODO SOL INJ CT  FA  ML,X 50
320 MG/ML IODO SOL INJ CX 25 FA VD INC X 50 ML ,320 MG,,/ML IODO SOL INJ C FA VD INC X 50 ML,X 25
320 MG/ML IODO SOL INJ CT  FA X 100 ML  + SUP. ESP. + EQUIP,320 MG,,/ML IODO SOL INJ CT  FA  ML  + SUP. ESP. + EQUIP,X 100
"66,03 G/100 ML SOL INJ CX FA VD INC X 50 ML (USO PROFS) ","66,03 G",,/100 ML SOL INJ CX FA VD INC  ML (USO PROFS),X 50
"66,03 G/100 ML SOL INJ CX  25 FA VD INC X 50 ML (USO PROFS)  ","66,03 G",,/100 ML SOL INJ C FA VD INC X 50 ML (USO PROFS),X  25
"66,03 G/100 ML SOL INJ CX  10 FA VD INC X 100 ML (USO PROFS)   ","66,03 G",,/100 ML SOL INJ C FA VD INC X 100 ML (USO PROFS),X  10
"0,5 MMOL/ML SOL INJ IV CT FA VD TRANS X 20 ML","0,5 MMOL",,/ML SOL INJ IV CT FA VD TRANS  ML,X 20
"0,5 MMOL/ML SOL INJ IV CX 25 FA VD TRANS X 10 ML ","0,5 MMOL",,/ML SOL INJ IV C FA VD TRANS X 10 ML,X 25
"0,5 MMOL/ML SOL INJ IV CX 25 FA VD TRANS X 15 ML","0,5 MMOL",,/ML SOL INJ IV C FA VD TRANS X 15 ML,X 25
"0,5 MMOL/ML SOL INJ IV CT FA VD TRANS X 60 ML","0,5 MMOL",,/ML SOL INJ IV CT FA VD TRANS  ML,X 60
"0,5 MMOL/ML SOL INJ IV CT SER PREENC PLAS PP TRANS X 10 ML","0,5 MMOL",,/ML SOL INJ IV CT SER PREENC PLAS PP TRANS  ML,X 10
"0,5 MMOL/ML SOL INJ IV CT SER PREENC PLAS PP TRANS X 15 ML","0,5 MMOL",,/ML SOL INJ IV CT SER PREENC PLAS PP TRANS  ML,X 15
"0,5 MMOL/ML SOL INJ IV CT SER PREENC PLAS PP TRANS X 20 ML","0,5 MMOL",,/ML SOL INJ IV CT SER PREENC PLAS PP TRANS  ML,X 20
50 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 28,50 MG,COM REV CT BL AL PLAS PVC,/PVDC OPC,X 28
75MG COM REV CT BL AL AL X 28,75MG,COM REV CT BL AL AL X 28,,
"60 MG SOL INJ CT FR AMP VD TRANS X1,5ML + DIL FR AMP VD TRANS X 4,5 ML",60 MG,SOL INJ CT FR AMP VD TRANS X1,",5ML + DIL FR AMP VD TRANS ,5 ML",X 4
"60 MG SOL INJ CT BAND 5 FR AMP VD TRANS X1,5ML + DIL 5 FR AMP VD TRANS X 4,5 ML",60 MG,SOL INJ CT BAND 5 FR AMP VD TRANS X1,",5ML + DIL 5 FR AMP VD TRANS ,5 ML",X 4
"60 MG SOL INJ CT FR AMP VD TRANS X1,5ML + DIL FR AMP VD TRANS X 4,5 ML",60 MG,SOL INJ CT FR AMP VD TRANS X1,",5ML + DIL FR AMP VD TRANS ,5 ML",X 4
"60 MG SOL INJ CT BAND 5 FR AMP VD TRANS X1,5ML + DIL 5 FR AMP VD TRANS X 4,5 ML",60 MG,SOL INJ CT BAND 5 FR AMP VD TRANS X1,",5ML + DIL 5 FR AMP VD TRANS ,5 ML",X 4
50 MG PO LIOF SOL INJ CT FA VD TRANS,50 MG,PO LIOF SOL INJ CT FA VD TRANS,,
"3,5 MG PÓ LIOF SOL INJ CT FA VD TRANS","3,5 MG",PÓ LIOF SOL INJ CT FA VD TRANS,,
75MG COM REV CT BL AL AL X 28,75MG,COM REV CT BL AL AL X 28,,
75MG COM REV CT BL AL AL X 14,75MG,COM REV CT BL AL AL X 14,,
100 MG COM REV CT BL AL PVC PVDC BRANCO X 14,100 MG,COM REV CT BL AL PVC PVDC BRANCO X 14,,
50 MG COM REV CT BL AL PVC PVDC BRANCO X 28,50 MG,COM REV CT BL AL PVC PVDC BRANCO X 28,,
50 MG PO LIOF SOL INJ CT FA VD TRANS,50 MG,PO LIOF SOL INJ CT FA VD TRANS,,
30 MG COM REV CT BL AL PLAS PVC TRANS X 10,30 MG,COM REV CT BL AL PLAS PVC TRANS X 10,,
30 MG COM REV CT BL AL PLAS PVC TRANS X 14,30 MG,COM REV CT BL AL PLAS PVC TRANS X 14,,
30 MG COM REV CT BL AL PLAS PVC TRANS X 20,30 MG,COM REV CT BL AL PLAS PVC TRANS X 20,,
30 MG COM REV CT BL AL PLAS PVC TRANS X 28,30 MG,COM REV CT BL AL PLAS PVC TRANS X 28,,
30 MG COM REV CT BL AL PLAS PVC TRANS X 30,30 MG,COM REV CT BL AL PLAS PVC TRANS X 30,,
60 MG COM REV CT BL AL PLAS PVC TRANS X 10,60 MG,COM REV CT BL AL PLAS PVC TRANS X 10,,
60 MG COM REV CT BL AL PLAS PVC TRANS X 14,60 MG,COM REV CT BL AL PLAS PVC TRANS X 14,,
60 MG COM REV CT BL AL PLAS PVC TRANS X 20,60 MG,COM REV CT BL AL PLAS PVC TRANS X 20,,
